№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
12383,Nord,мини-отель,10,10,"Санкт-Петербург, Каменноостровский пр., 73/75, оф/пм 21-Н, 22-Н",Петроградский район,"88122340828, 88122343930",нет,http://www.hotelnord.spb.ru/,hotelnord@mail.ru,"Наш мини-отель находится в центре Санкт-Петербурга рядом с великолепным Лопухинским садиком, в здании 1913-1914 гг. постройки, архитекторов А. И. Зазерского, И. И. Яковлева. В этом доме с 1915 по 1955 год жил и работал поэт-переводчик М. Л. Лозинский.","мини-бар
• завтрак
• Wi-Fi
• душ
•  фен
•  телефон
•  телевизор
•  сейф","59.975085,30.30463"
12384,НОТЕБУРГ,отель,11,17,"Санкт-Петербург, 3-я линия В.О., 20",Василеостровский,+7(812)3234532; +7(812)3252399 ;,+7(812)3234532; +7(812)3252399;,http://www.noteburg.ru/,info@noteburg.ru,"Нотебург – это современный и уютный мини-отель. Он находится в исторической части Васильевского острова в здании, являющемся памятником архитектуры. Удобное место расположения дает возможность нашим гостям  в считанные минуты добраться до одного из красивейших мест  Санкт-Петербурга - стрелки Васильевского острова, посетить музеи, совершить водные прогулки, полюбоваться прекрасным видом на Зимний дворец, Петропавловскую крепость, набережные Северной столицы. Кроме того, в непосредственной близости находится станция метрополитена «Василеостровская», откуда без труда можно доехать до любой части города, а также выставочный комплекс ""ЛенЭкспо"".","• Полный спектр услуг бизнес центра 
• Встреча гостей и транспортная поддержка в течение всего пребывания
• Услуги гидов и переводчиков
• Услуги прачечной и химчистки
• Завтрак ""Шведский стол""
• Беспроводной высокоскоростной доступ в Internet
• Организация экскурсионной программы
• Заказ театральных билетов и билетов на культурно- зрелищные мероприятия
• Вызов такси
• Мелкий ремонт и глажение одежды
• Утренняя побудка
• Заказ еды и напитков из кафе и ресторанов Петербурга
• Заказ авиа и железнодорожных билетов","59.942818,30.285182"
12387,ОКТАВИАНА,отель,14,28,"Россия, Санкт-Петербург, Невский просп., д. 74-76, кв. 37",Центральный,+7(812)4010234; +7(812)4010235 ;,+7(812)4010236;,http://octaviana.spb.ru/,office@octaviana.spb.ru,"Престижный отель «Октавиана» расположен в угловом здании на Невском проспекте дом 74-76 на пересечении деловой и культурной жизни Санкт-Петербурга, что дает возможность эффективно распределить время для решения деловых вопросов и посещения культурных мероприятий.","• доставка еды и напитков в номер
•  упакованные ланчи
•  трансфер 
•  трансфер от/до аэропорта (платный)
•  ускоренная регистрация заезда/отъезда
•  экскурсионное бюро
• услуги по продаже билетов
• камера хранения багажа
•  индивидуальная регистрация заезда/отъезда
• прачечная
• услуги по глажению одежды
•  факс/ксерокопирование
• Сейф
• Номера для некурящих
• Отопление
• Кондиционер","59.933113,30.34686"
12390,ОНОРЕ,отель,7,7,"Санкт-Петербург, ул. Чайковского, 12 лит.А",Центральный,8 (812) 346-56-79,+7(812)3465680;,https://honore.spb.ru/,hotel@honore.spb.ru,"Отель «ОНОРЕ» радушно открыл двери своим гостям еще в 2002 году в самом сердце Санкт-Петербурга. Расположившись посреди ансамбля наистарейшей застройки города, отель находится в непосредственной близости к Летнему саду и набережной Кутузова, Литейному проспекту и станции метро Чернышевская.
Отдыхать в спокойствие и тишине большого мегаполиса позволяет атмосфера тихого открытого двора. В распоряжении отеля 7 номеров 1-й категории, оснащенных условиями для комфортного проживания – душевая и санузел, окно, wi-fi, комфортные постели и постельные принадлежности, бутилированная вода, мощный фен, тапочки и пушистые полотенца, а также постоянно доступная чайная зона с бытовыми приборами и посудой.
У нас Вы всегда сможете заказать завтрак, ужин и другое питание по меню. По согласованию с отелем, возможно размещение животных.","* трансфер
* заказ ж/д и авиабилетов
* заказ билетов в театры, концертные залы
* организация экскурсий, предоставление гидов-переводчиков
камера хранения
* wi-fi internet
* ксерокс и факс
* предоставление справочной информации
* утренняя пробудка
* завтрак включён в стоимость проживания","59.947176,30.346025"
12398,ПЕТЕРБУРГСКАЯ СКАЗКА,мини-отель,7,12,"Санкт-Петербург, ул. Некрасова, 44",Центральный,8 (812) 579-18-11,нет,http://spb-skazka.ru/,peterskazka@yandex.ru,"Мини-отели — явление новое и чрезвычайно популярное среди туристов, которым нужно место проживания в центре Санкт-Петербурга. И это правильно — транспортные пробки, дорогостоящие переезды крадут время и финансы.
Большинство мини-отелей расположено в исторической и культурной части Петербурга. Прекрасный пример — мини-гостиница «Петербургская сказка», расположенная на улице Некрасова 44.
Преимущества мини-отелей перед крупными гостиницами очевидны. Вы же не хотите быть одним из десятков толпящихся  по лифтам и коридорам, пробирающихся к шведскому столу, поэтому вы — всегда желанный гость в мини-гостинице «Петербургская сказка». Вам уделят максимум внимания,  вы будете знать каждого сотрудника и директора в лицо, а последующий визит превратится в приятную встречу со старыми знакомыми.","• заказ билетов в театры, на концерты, бронирование столиков в ресторанах;
• регистрация иностранцев;
• оформление документов в бухгалтерию для отчета о командировке;
• чай, кофе, горячие бутерброды и дополнительная кровать.
• кондиционер
• питание 
• уборка","59.938852,30.362904"
12399,ПЕТЕРБУРГСКИЕ ТАЙНЫ,хостел,5,24,"Санкт-Петербург, ул. Гороховая, дом 32 кв.15",Центральный,89218837710.0,нет,https://vk.com/club53413750,pitersmystery@mail.ru,"Мы открыли новый ХОСТЕЛ на Гороховой! Исторический центр Санкт-Петербурга, 5 минут ходьбы от станций метро ""Сенная/Спасская/Садовая""...
ул. Гороховая - одна из задуманных Петром I ""першпектив"", так называемая ""средняя першпектива"" выходит прямо к зданию Адмиралтейства - символу нашего города.
Наш отель располагается в одной из квартир в здании постройки 18 века. Просторные пролеты парадной лестницы, огромные окна и вид на Гороховую. Также, в некоторых номерах, мы постарались сохранить лепнину и потрясающую каминную печь 1875—1876 гг.
Вас ждут радушный прием, домашняя уютная атмосфера, комфортные номера и круглосуточная поддержка гостей по любому вопросу.","В каждом номере Вы найдете удобную кровать с ортопедическим матрацем, все необходимую мебель для комфортного проживания, а также небольшую кухонную зону, где в любое время можно приготовить завтрак или ужин. И как заведено у нас в отелях - Wi-Fi, чай и кофе для наших гостей совершенно бесплатно!","59.929434,30.320988"
12413,ПИРАМИДА,гостиница,11,22,"Санкт-Петербург, Колпино, Октябрьская ул., 4-а",Колпинский район,+7(812)4631046 ;,нет,http://piramidaspbk.com/,hotel@piramida.spb.ru,"Мини-отель расположен в современном здании города Колпино, в стороне от дорог шумного города с видом на парк и пруд. В здании к Вашим услугам бар, салон красоты, сауна. Отдельный вход с тыльной стороны позволяет гостям отеля не пересекаться с посетителями остальных заведений и наслаждаться природной тишиной и покоем.",• Банкетный зал                                    • Бильярд-бар                                      • Салон красоты                                  • Сауна                                                            • Диско-бар• Wi-Fi              • Спутниковое телевидение •Кондиционер • Фен                 • Тапочки,"59.742588,30.617522"
12415,Polikoff,отель,15,15,"Санкт-Петербург, Невский пр., д.64/11, кв. 24-26",Центральный район,8 (812) 314-79-25,нет,нет,polikoffhotelspb2@gmail.com,"Отель «Поликофф» располагает номерами в историческом центре Санкт-Петербурга. Отель находится примерно в 200 метрах от Невского проспекта и станции метро «Гостиный двор».

В современных номерах к услугам гостей бесплатный Wi-Fi и кабельное телевидение. Номера стильно декорированы в нейтральных тонах и располагают ванными комнатами.","• регистрация иностранных гостей - 200 руб.;
• визовая поддержка иностранных гостей;
• трансфер из аэропорта (ж/д вокзала), в аэропорт (ж/д вокзал) и по городу;
• аренда катеров;
• заказ такси;
• бронирование столиков в ресторанах;
• организация экскурсий по Санкт-Петербургу;
• заказ билетов в театры - концертные залы (по приезду в отель);
• заказ авиа и ж/д билетов.
• Wi-Fi              • Спутниковое телевидение          • Джакузи в номерах люкс • Телефон","59.933911,30.340419"
12416,ПОПОВ Гостевые комнаты,малое средство размещения,9,18,"Санкт-Петербург, ул. Профессора Попова, 26 , кв 4",Петроградский,+7(812)2349547;  +7(812)2344309;  +7(812)2344803; 8 (800) 3336026;,нет,http://hotel-popov.ru/,hotel-flat4@yandex.ru,"Отель «Попов» с бесплатным Wi-Fi и парковкой находится на Петроградском острове, недалеко от Петропавловской крепости и в 600 метрах от станции метро «Петроградская».
В уютных номерах отеля в распоряжении гостей фен, ЖК-телевизор, гостиный уголок и Wi-Fi.
Гости могут пользоваться общим залом для завтрака.
Отель «Попов» расположен рядом с историческим центром Санкт-Петербурга и всего в 2 станциях метро от оживленного Невского проспекта.","• заказ трансферов, бронирование авиа, железнодорожных билетов, а так же билетов на всевозможные мероприятия;
• организация экскурсий по городу и пригородам;
• заказ такси, аренда автомобилей;
• заказ и доставка еды;
• услуги прачечной и химчистки.
• завтрак, фрукты, кофе, чай в любое время;
• коллекция DVD дисков для просмотра в номерах;
• Wi-Fi интернет;
• багажная комната;
• сейф для ценных вещей.","59.971087,30.304783"
12419,ПРЕМИУМ,отель,18,37,"Санкт-Петербург, Кузнечный переулок, 14Б, лит. Ж, пом. 10Н, 11Н, 12Н",Центральный,8 (812) 713-25-44,нет,http://www.hotel-premium.ru,mksf@inbox.ru,"Добро пожаловать в спа-отель «Премиум», где всегда рады гостям! К вашим услугам — комфортабельные номера, красота и уют которых не оставит равнодушным даже самого требовательного гостя. Превосходное сервисное обслуживание, множество услуг и спецпредложений — все это в вашем распоряжении.","• джакузи с ароматизированной пеной;
• приятное музыкальное сопровождение;
• щедрая фруктовая корзина;
• роскошный завтрак, доставляемый прямо в номер;
• трансфер на представительском автомобиле в отель, или из отеля;
• спутниковое телевидение;    • сейф;               • интернет;               • сауна и джакузи в некоторых номерах.","59.927297,30.354172"
12422,ПРЕСТИЖ,гостиница,9,18,"Санкт-Петербург, В.О., Малый пр., 27, корп. 2",Василеостровский район,+7(812)3284228;,+7(812)3284228;,hotel-vasil.ru,3285338@hotel-vasil.ru,"Отель на Васильевском - это комфортные номера в историческом центре Санкт-Петербурга вблизи станций метро Василеостровская и метро Спортивная-2 недорого. Недалеко от гостиницы выставочные комплексы Ленэкспо, Центр научно-технической информации ЦНТИ Прогресс©, Институт «Иматон», бизнес школа «Самолов и Самолова». Недалеко от отеля факультеты Санкт-Петербургского Государственного университета (СПбГУ), учебный центр Конфакт, клиника международного центра репродуктивной медицины МЦРМ, институты, академии, университетские факультеты.","• завтрак;                                               • трансфер;                                         • визовая поддержка;                                • организация экскурсий.• спутниковое телевидение;    • вентилятор;               • интернет Wi-Fi;                        • сейф;                • чай, кофе.","59.946013,30.270297"
12439,РАПСОДИЯ,гостиница,17,26,"Санкт-Петербург, наб. Канала Грибоедова, д. 25, пом. 7-Н",Центральный,+7(812)3152484;,нет,http://rhapsody-hotel.com/,info@rapsody-hotel.com,"Отель «Рапсодия» расположился в самом сердце Санкт - Петербурга,
в 130 метрах от Казанского собора и в 300 метрах от Невского проспекта","• визовая поддержка;
• регистрация иностранных граждан;
• дополнительный завтрак;
• услуги прачечной;
• трансфер
• комната для хранения багажа;
• сейф на стойке ресепшн;
• Wi-Fi;
• заказ билетов в музеи и театры;
• заказ билетов на самолет и на поезд;
• заказ такси;
• организация экскурсий по городу и пригородам;
• завтрак «Шведский стол»;
• телефон;
• фен, гладильная доска, утюг;
• детская кроватка, детское кресло, детские игрушки.","59.932811,30.324788"
12443,РЕСПЕКТАЛЬ,мини-отель,10,10,"196014, Санкт-Петербург, ул. Маяковского, 36-38, пом. 2",Центральный,+7(812)2724189;,+7(812)2724189;,http://www.respectale.ru/,mail@respectale.ru,"Гостевой дом «Респекталь» расположен в центре города Санкт-Петербург, в его историческом, культурном и деловом центре, который прекрасно сочетает в себе деловую активность, сферу развлечений и спокойную размеренную жизнь.","• трансфер;                                                • заказ театральных билетов;                      • заказ авиа и ж/д билетов;                     • ксерокс, факс;                                  • глажание, стирка;                                          • чистка обуви;                                    • услуги бизнес-центра;                                   • экскурсии;                                                      • дополнительный завтрак;                                      • халаты, тапочки;                                     • камера хранения.
• интернет;                     • хранение ценностей;                       • будильник;                      • регистрация иностранных граждан;                     • вызов такси; • чай, кофе.","59.940465,30.354873"
12457,СОНАТА на Невском 11,малое средство размещения,14,25,"Санкт-Петербург, Невский пр., 11-5",Центральный,+7(812)4078029;,нет,http://hotel-sonata.ru/,sonata.otel@mail.ru,"Бесплатный Wi-Fi
Парковка
Семейные номера
Номера для некурящих
Круглосуточная стойка регистрации
Отопление","Трансфер до/из аэропорта, Прачечная, Химчистка, Услуги по глажению одежды, Люкс для новобрачных, Экскурсионное бюро, Факс/Ксерокопирование
Интернет, Сейф, Отопление, Камера хранения багажа, Кондиционер","59.936462,30.315985"
12458,Соната на Маяковского,малое средство размещения,14,26,"Санкт-Петербург, ул. Маяковского, д. 50-16-18",Центральный,+7(812)3804090;,нет,http://hotel-sonata.ru/,hotel-sonata@mail.ru,"""Соната на Маяковского"" расположена в историческом центре Санкт-Петербурга, в двух шагах от станции метро Чернышевская. Соната расположена всего в трех минутах от Преображенский собор, а до Невского проспекта, Смольного собора и других основных достопримечательностей можно прогуляться пешком за 15 минут.
Просторные светлые комнаты ""Соната"" находятся на втором и третьем этажах исторического здания в стиле модерн. Площад варьируется от 14 до 25 кв.м. Рады сообщить, что у нас предоставляется БЕСПЛАТНЫЙ завтрак для всех проживающих!
""Соната на Маяковского"" продолжает расширятся. Теперь у нас больше комфортных комнат и мы с радостью разместим групповые бронирования! Зона ресепшен разместилась на первом этаже. Во всех комнатах большие окна с незабываемым видом на Петербург. Бронируйте на нашем сайте ил по телефону и получайте скидки!","Трансфер до/из аэропорта, Прачечная, Химчистка, Услуги по глажению одежды, Люкс для новобрачных, Экскурсионное бюро, Факс/Ксерокопирование, Сейф, Отопление, Камера хранения багажа, Кондиционер, Интернет","59.942813,30.355098"
12461,СОНАТА на Гороховой,малое средство размещения,24,48,"Санкт-Петербург, Гороховая ул., 3",Адмиралтейский,+7(812)3155112; 3126695; 3159300;,нет,http://hotel-sonata.ru/,sonata_hotel@mail.ru,"Гостевой дом расположен в центре Санкт-Петербурга, в 5 минутах ходьбы от Государственного Эрмитажа, Невского проспекта и Дворцовой площади. К услугам гостей комнаты по доступной цене. Комнаты гостевого дома «Соната у Дворцовой площади» с высоким потолком оформлены в классическом стиле.","Трансфер до/из аэропорта, Прачечная, Химчистка, Услуги по глажению одежды, Люкс для новобрачных, Экскурсионное бюро, Факс/Ксерокопирование, Сейф, Отопление, Камера хранения багажа, Кондиционер, Интернет","59.935669,30.310236"
12463,СПБВЕРГАЗ,отель,24,41,"Санкт-Петербург, 7-я линия, В.О., д. 70/18, лит. А",Василеостровский,+7(812)3278883 ;,+7(812)3278880;,http://www.spbvergaz.ru,70hotel@vergaz.spb.ru,"Отель «СПБВЕРГАЗ» — это небольшой уютный отель в историческом центре Санкт-Петербурга, на Васильевском острове, в 400 метрах от станции метро Василеостровская и в 600 метрах от станции метро Спортивная-2, выход на Васильевский остров.
В июне 2016 года отелю официально присвоены 3 звезды.
В нашем отеле 24 номера, созданных для Вашего комфорта. Приехав в наш город в командировку, на обучение или как турист, отдых в нашем отеле после загруженного дня станет для Вас приятным завершением дня.","Конференц-зал
Зал на 20-25 человек: 
экран, флипчарт, магнитно-маркерная доска, ТВ,
мультимедиа проигрыватель, цифровой проектор •Заказ такси
•Заказ авиа и ж/д билетов
•Заказ театральных билетов
•Офисные услуги (факс, ксерокс, сканирование, отправка/получение почты)
•Дополнительные кровати
•Интернет WI-FI в номерах и на территории всего отеля
•Ранний заезд
•Поздний выезд
•Прачечная
•Хранение багажа
•Гладильная доска на этаже (для самостоятельного глажения)","59.793468,30.127429"
12467,СТАРЫЙ ГОРОД,малое средство размещения,6,12,"197136, Санкт-Петербург, П.С., Большой пр., 70-72",Петроградский,+7(812)2331600 ;,нет,http://www.theoldtown.info/,info@altburg.ru,"Гостевые комнаты ""СТАРЫЙ ГОРОД""  расположены в историческом центре Санкт-Петербурга на Большом проспекте Петроградской стороны, одном из центральных проспектов города, в пяти минутах ходьбы от станции метро ""Петроградская"".
Вблизи - фирменные магазины, рестораны и кафе. Окна комнат выходят на тихую улочку и в петербургский дворик, поэтому тишина и покой Вам обеспечены.","второй завтрак, трансфер, завтрак ,  интернет","59.962868,30.306741"
12472,СУВОРОВЪ,отель,15,15,"191036, Санкт-Петербург, 5-я Советская ул., 3/13",Центральный,+7(812)2711859 ;,нет,http://www.suvorovhotel.spb.ru/,info@suvorovhotel.spb.ru,"Отель «Суворовъ» – прекрасная возможность для тех, кто предпочитает жить в центре города Санкт-Петербурга.
Удобная и домашняя обстановка отеля, гостеприимный персонал позволяет вам в полной мере ощутить дружественную атмосферу Северной столицы.
 В шаговой доступности  - станция метро «Площадь Восстания», Московский вокзал, главная транспортная артерия нашего города – Невский проспект с современными торговыми комплексами, знаменитые исторические достопримечательности,  рестораны и клубы и все, что необходимо для прекрасного отдыха в Санкт-Петербурге.","континентальный завтрак
круглосуточная служба размещения и информации
трансфер
услуги прачечной и химчистки
бронирование и заказ билетов
камера хранения багажа
копировальные услуги
оплата кредитными картами
визовая поддержка и регистрация
услуги гидов и переводчиков
прокат автомобилей
факс
вызов врача
доставка прессы
обслуживание в номере
проведение деловых встреч и переговоров","59.935209,30.367494"
12480,У ЭРМИТАЖА,отель,38,76,"Санкт-Петербург, нар. реки Мойки, д. 42, кв. 47",Центральный,+7(812)5713667 ;,нет,www.byhermitage-hotel.ru,info@byhermitage-hotel.ru,"Выбирая нас, Вы выбираете размещение рядом с главными достопримечательностями: Казанский собор, Дворцовая площадь, Эрмитаж, Исаакиевский собор, Спас на Крови. Ведь так приятно прогуляться по парадному Петербургу в любое время, минуя долгие и утомительные поездки в транспорте.
У нас вы погрузитесь в атмосферу уюта, спокойствия и покоя.
Мы позаботимся о том, чтобы Вы чувствовали себя, как дома и ни в чем не нуждались.
Нам важно, чтобы у Вас остались только положительные эмоции и отличное настроение.","Бесплатный Wi-Fi в номерах стандарт
Небольшое кафе для завтраков
Визовая поддержка и трансферыЗавтрак (с 7.00 до 10.00)
Пользование городским телефоном
Утюг и гладильная доска (по требованию у портье) Любая справочная информация по Санкт-Петербургу
Аренда автомобилей, теплоходов и катеров
Трансфер
Организация экскурсионного обслуживания по Санкт-Петербургу
Заказ театральных билетов
Доставка железнодорожных и авиабилетов
Скидки в ресторанах города, заказ и доставка ужинов в гостиницу
Услуги прачечной и химчистки
Побудка к определенному времени
Визовая поддержка и регистрация для иностранных граждан","59.93681,30.320458"
12481,"Учебная гостиница ""Ульянка""",гостиница,47,47,"Санкт-Петербург, пр. Народного Ополчения, 189, корп. 1",Кировский,8 (812) 620-87-08,нет,http://mtcgostinica.com/,mtk_gostinica@mail.ru,"Гостиница ""Учебная"", эконом класса-проспект Народного Ополчения, д.189, корп.1
Филиал гостиницы занимает 4 и 5 этажи пятиэтажного здания учебно-тренажёрного центра.
От ближайшей станции метро ""Проспект Ветеранов""(красная ветка) до гостиницы можно доехать на наземном транспорте за 15-20 минут.","охраняемая автомобильная стоянка (платная), столовая (кроме сб., вс.), а также медпункт
На этажах гостиницы имеются комнаты быта, оборудованные современной электробытовой техникой (холодильник, микроволновая печь, чайник, кулер, фен, утюг).","59.824792,30.211116"
12483,УЮТ,гостиница,12,26,"Санкт-Петербург, ул. Лени Голикова, д. 2, лит. А, пом. 2-Н, 6-Н",Кировский,7 (812) 753-40-18,нет,minihotel-yut.ru,spb.hotelyut@mail.ru,"Мини-гостиница ""УЮТ"" на 12 номеров находится вблизи станций метро Проспект Ветеранов и Ленинский проспект.
Парк ""Петергоф"" в 30-ти минутах езды на общественном транспорте, а аэропорт ""Пулково"" -в 17-ти км. от гостиницы.
(Остановки общественного транспорта в шаговой доступности.)","Круглосуточную стойку регистрации
Размещение в уютных номерах на любой бюджет
Микроволновая печь и холодильник
Бесплатный Wi-Fi
Кулер с питьевой водой
Чай и кофе
Возможность пользоваться мини-кухней
Услуга прачки
Халаты
Ксерокс
Сейф
Фен
Заказ трансферов, билетов в театр, экскурсий, ж/д и авиабилетов, аренда автомобилей
Косметические наборы
Тапочки
Шаговая доступность до магазинов, аптек,отделений банка, торгово-развлекательного комплекса.","59.847874,30.229612"
12484,УЮТНАЯ,гостиница,21,42,"Санкт-Петербург, Колпино, ул. Труда, 17-а, вход со двора",Колпинский,+7(812)4617008 ;,нет,http://uyutnaya.com/,yuthotel@yandex.ru,"Гостиница «Уютная», расположенная в Колпино, в историческом центре города, в тихом, зеленом дворике, предлагает своим постояльцам гостеприимную атмосферу, хороший сервис и разумные цены. Современные недорогие номера мини-отеля рассчитаны на людей, для которых важны комфорт проживания и экономия средств.","•современная полностью оборудованная кухня: стиральная машина, холодильник, плита, печь СВЧ и все необходимые принадлежности
•бесплатная парковка
•Фен, утюг, чайник - администратор предоставит бесплатно по Вашей просьбе
•Бесплатный Wi-fi                                         •Бесплатная доставка блюд из меню ресторана «Япоша»
•Бесплатный вход в ночной клуб «Абсент-бар»•Дополнительный час в сауне «Пирамида» (при заказе 4-х или 5-ти часов на двоих)","59.748355,30.612034"
12486,Фонтанка Инн,СР,3,6,"Санкт-Петербург, улица Итальянская, дом 16/19, д.46",Центральный,+7(812)2727023 ;,нет,http://anichkovbridge.com,ian@anichkovbridge.com,"Мини-гостиница при ресторане «Фонтанка Инн» расположилась в центре города Санкт-Петербург, на набережной реки Фонтанка. Для гостей подключен бесплатный WiFi.
В номерах установлены кондиционер, диван, телевизор, холодильник, электрический чайник и гладильные принадлежности. В ванных комнатах предоставляется фен. Из некоторых номеров открывается вид на реку.
Рядом с мини-гостиницей при ресторане работают кафе и рестораны.
Невский проспект находится в 3 минутах ходьбы, а станция метро «Гостиный Двор» — в 650 метрах. Расстояние от мини-гостиницы при ресторане «Фонтанка Инн» до Московского железнодорожного вокзала составляет 2,3 км, а до международного аэропорта Пулково — 20 км.","•Визовая поддержка 
•Приглашение и подтверждение бронирования жилья 
•Регистрация
•Трансфер от аэропорта/ж.д. станции 
•Заказ такси 
•Организация экскурсий 
•Услуги переводчика
•Бронирование номеров 
•Бронирование квартир на длительный и короткий срок 
 Во всех комнатах имеется доступ в интернет, кабельное телевидение, сейф, возможность приготовления чая и кофе.","59.935507,30.343204"
12497,Шелфорт Гостевой дом,средство размещения,15,30,"Санкт-Петербург, 3 линия В.О., д. 26-1",Василеостровский,+7(812)3280555;,,www.shelfort.ru,hotel@shelfort.ru,Cтарейший камерный мини-отель бизнес-класса на Васильевском острове,"Доставка еды и напитков в номер, Упакованные ланчи, Трансфер, Трансфер от/до аэропорта,  Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Общий лаунж/гостиная с телевизором, Няня/Услуги по уходу за детьми, Прачечная, Услуги по глажению одежды, Конференц-зал/Банкетный зал, Факс/Ксерокопирование, Люкс для новобрачных
парковка
завтрак
обслуживание номеров
Wi-Fi","59.943422,30.28449"
12502,Elegy Mini-Hotel,отель,23,46,"Санкт-Петербург, ул. Рубинштейна, 18/5",Центральный,8 (812) 600-20-80,нет,acme-hotel.ru,Elegy.hotel@gmail.com,"В отеле «Петербургская Элегия» — 8 номеров различных категорий, оборудованных по международным стандартам, способных удовлетворить даже самых требовательных путешественников","Доставка еды и напитков в номер, Трансфер,  Ускоренная регистрация заезда/отъезда, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Индивидуальная регистрация заезда/отъезда, Прачечная, Химчистка, Услуги по глажению одежды, Факс/Ксерокопирование
Гладильная доска предоставляется по запросу бесплатно
Завтрак (включен в стоимость номера) 
Сейф на ресепшене бесплатно","59.930313,30.345252"
12504,ЭСТЕРА,Гостевой дом,5,10,"Санкт-Петербург, ул. Константина Заслонова, 9",Центральный,575-71-31 ;,нет,http://esterahotel.ru/,esterhotel@mail.ru,"Уютный мини-отель «Эстера» расположен в центре Санкт-Петербурга: всего в 10 минутах ходьбы от Невского проспекта, Московского и Витебского вокзалов. Удобное расположение рядом со станцией метро «Лиговский проспект» позволяет быстро добраться в любую точку города. Проезд Ст. метро ""Лиговский проспект"" - в трех минутах ходьбы. Трансферт в аэропорт и из аэропорта.","Трансфер, Трансфер от/до аэропорта,  Услуги консьержа, Общий лаунж/гостиная с телевизором, Факс/Ксерокопирование
 телевизор, DVD, сейф, холодильник, доступ в интернет, Wi-Fi, халаты, фен, тапочки. При необходимости предоставляется дополнительная кровать. В стоимость номера входит  чай/кофе в течение дня.","59.920451,30.350516"
12510,ЮНОСТЬ,гостиница,132,302,"Санкт-Петербург, ул. Бумажная, дом 7",Адмиралтейский,8 (812) 786-35-44,нет,hotel-younost.ru,unost-hotel@mail.ru,"Гостиница ""Юность"" является структурным подразделением Колледжа туризма Санкт-Петербурга. Учебная гостиница в своей деятельности руководствуется действующим Законодательством РФ, «Правилами предоставления гостиничных услуг в РФ», Уставом Колледжа.

Гостиница «Юность» расположена в одном из центральных районов города – Адмиралтейском, богатом историческими событиями и памятниками архитектуры. Гостиница находится в непосредственной близости от станции метро ""Балтийская"", в пяти минутах ходьбы от станции метро «Нарвская и в течение долгого времени пользуется заслуженным уважением гостей города.","• конференц-зал на 20 человек
• завтрак
 • Wi-Fi","59.905154,30.26947"
